City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
442,kristiansund,63.1115,7.732,-0.64,64,75,3.09,NO,1708310942
443,manokwari,-0.8667,134.0833,26.98,83,100,1.52,ID,1708310943
444,champasak,14.75,106.0,27.49,34,76,0.78,LA,1708310943
445,island harbour,50.724,-1.2758,10.17,94,59,1.34,GB,1708310944
446,guaraniacu,-25.1008,-52.8781,17.63,85,50,1.24,BR,1708310945
447,udomlya,57.8794,34.9925,-13.9,99,100,2.02,RU,1708310946
448,tapes,-30.6733,-51.3958,23.65,86,49,5.61,BR,1708310946
449,bubaque,11.2833,-15.8333,26.14,75,2,3.11,GW,1708310947
450,kununurra,-15.7667,128.7333,32.99,66,40,5.66,AU,1708310948
451,fort mcmurray,56.7268,-111.381,-7.27,62,0,3.6,CA,1708310948
452,copala,16.65,-98.9833,23.51,71,0,1.35,MX,1708310949
453,whistler,50.1164,-122.9695,2.53,93,92,0.68,CA,1708310949
454,nizhneudinsk,54.9076,99.0276,-25.62,89,18,0.85,RU,1708310951
455,moapa valley,36.5805,-114.4703,14.75,43,0,1.03,US,1708310739
456,es castell,39.8795,4.2854,12.38,100,0,2.57,ES,1708310951
457,kalisz,51.7611,18.091,4.08,77,100,5.15,PL,1708310952
458,inhambane,-23.865,35.3833,25.95,78,84,5.41,MZ,1708310952
459,chonchi,-42.6128,-73.8092,15.62,78,0,1.67,CL,1708310953
460,ludza,56.55,27.7167,-7.9,98,96,1.6,LV,1708310953
461,tshela,-4.9833,12.9333,23.59,98,100,0.71,CD,1708310954
462,zaragoza,41.6561,-0.8773,13.9,64,0,10.29,ES,1708310955
463,crane,31.3974,-102.3501,8.88,39,0,6.19,US,1708310955
464,trostyanets',50.4784,34.963,-4.47,88,18,3.7,UA,1708310956
465,usinsk,65.9939,57.5281,-9.4,86,100,8.94,RU,1708310956
466,pontes e lacerda,-15.2261,-59.3353,26.0,76,100,1.36,BR,1708310957
467,pathardi,19.1667,75.1833,24.47,26,15,1.17,IN,1708310958
468,ishigaki,24.3448,124.1572,26.07,78,75,6.17,JP,1708310958
469,vakhsh,37.7149,68.8346,0.12,100,100,3.0,TJ,1708310959
470,cascais,38.6979,-9.4215,14.53,91,38,4.47,PT,1708310959
471,gargalianoi,37.0667,21.6333,9.64,80,0,2.26,GR,1708310960
472,mumbwa,-14.9783,27.0619,18.34,87,36,2.1,ZM,1708310960
473,baotou,40.6522,109.8222,-7.9,26,69,2.25,CN,1708310920
474,mili,6.0815,171.735,27.48,80,100,7.4,MH,1708310961
475,mallammaduri,12.565,9.9573,20.31,14,34,4.0,NG,1708310962
476,gusinoozyorsk,51.2833,106.5,-28.11,91,31,1.88,RU,1708310962
477,shimoda,34.6667,138.95,18.2,80,100,8.13,JP,1708310963
478,yumbe,3.4651,31.2469,24.18,32,85,0.88,UG,1708310964
479,taroa,8.7058,171.2275,27.6,79,100,5.6,MH,1708310964
480,guerrero negro,27.9769,-114.0611,15.7,73,95,6.13,MX,1708310964
481,galliano,29.4422,-90.2992,7.22,60,1,3.09,US,1708310965
482,ghat,24.9647,10.1728,15.48,19,0,2.44,LY,1708310965
483,bonthe,7.5264,-12.505,26.44,91,72,1.41,SL,1708310966
484,mandalgovi,45.7625,106.2708,-22.8,63,0,2.05,MN,1708310967
485,kampong cham,11.9934,105.4635,31.37,48,59,3.87,KH,1708310967
486,mhamid,29.82,-5.72,13.78,45,0,5.61,MA,1708310968
487,smara,26.7384,-11.6719,17.71,28,0,3.94,EH,1708310968
488,hillsdale,41.0026,-74.0404,4.08,65,0,2.06,US,1708310969
489,fulshear,29.69,-95.8997,9.31,64,0,1.54,US,1708310969
490,drohobych,49.3499,23.5056,-0.72,84,82,2.52,UA,1708310970
491,desaguadero,-16.5656,-69.0417,10.29,78,100,3.24,PE,1708310970
492,plettenberg bay,-34.0527,23.3716,17.56,81,0,2.09,ZA,1708310971
493,saynshand,44.8824,110.1163,-23.48,64,0,2.83,MN,1708310971
494,dalandzadgad,43.5708,104.425,-12.99,18,72,2.22,MN,1708310972
495,nadym,65.5333,72.5167,-16.31,90,100,10.86,RU,1708310972
496,taghazout,30.5426,-9.7112,13.43,48,0,1.96,MA,1708310973
497,boende,-0.2167,20.8667,21.79,95,100,0.73,CD,1708310973
498,tadine,-21.55,167.8833,27.63,70,7,7.2,NC,1708310974
499,kenai,60.5544,-151.2583,4.05,69,100,6.17,US,1708310974
500,vilyuysk,63.7553,121.6247,-26.16,93,100,3.0,RU,1708310975
501,san andres,12.5847,-81.7006,28.01,83,20,3.09,CO,1708310812
502,sars,56.5502,57.1366,-11.93,82,100,6.8,RU,1708310976
503,mont-dore,-22.2833,166.5833,29.99,65,0,5.47,NC,1708310976
504,colonia,50.9333,6.95,9.42,86,75,7.2,DE,1708310977
505,kharkhorin,47.1975,102.8238,-28.03,95,46,1.02,MN,1708310977
506,villa regina,-39.1,-67.0667,26.66,15,29,0.89,AR,1708310978
507,mananjary,-21.2167,48.3333,24.37,84,100,4.08,MG,1708310978
508,luanco,43.6152,-5.7934,14.05,99,100,1.93,ES,1708310979
509,ayabaca,-4.6398,-79.7149,9.66,98,99,0.42,PE,1708310979
510,karachi,24.9056,67.0822,22.9,88,75,5.66,PK,1708310980
511,bezenchuk,52.982,49.4333,-7.25,94,100,7.82,RU,1708310980
512,saudarkrokur,65.7461,-19.6394,2.34,82,100,2.98,IS,1708310980
513,qulsary,46.9531,54.0198,-12.24,75,9,5.26,KZ,1708310981
514,espinho,41.0076,-8.6413,13.95,97,19,1.53,PT,1708310981
